"时间","茶园","腰古","里洞","天堂","樟田","共成","新兴","稔村","南盛","蒸发","流量"
#2002-01-01 08:00:00#,0,0,0,0,0,0,0,0,0,1,19
#2002-01-02 08:00:00#,0,0,0,0,0,0,0,0,0,1.5,18.1
#2002-01-03 08:00:00#,0,0,0,0,0,0,0,0,0,1.4,21.9
#2002-01-04 08:00:00#,0,0,0,0,0,0,0,0,0,1.7,16.9
#2002-01-05 08:00:00#,0,0,0,0,0,0,0,0,0,2.2,17.3
#2002-01-06 08:00:00#,0,0,0,0,0,0,0,0,0,1.9,19.3
#2002-01-07 08:00:00#,0,0,0,0,0,0,0,0,0,1.1,16.9
#2002-01-08 08:00:00#,0,0,0,0,0,0,0,0,0,2,19.7
#2002-01-09 08:00:00#,.5,0,0,0,0,0,0,0,0,0,16.4
#2002-01-10 08:00:00#,0,0,0,0,0,0,0,0,0,1.1,18.8
#2002-01-11 08:00:00#,0,0,0,0,0,0,0,0,0,.8,17.3
#2002-01-12 08:00:00#,0,0,0,0,0,0,0,0,0,.2,20.6
#2002-01-13 08:00:00#,0,0,0,0,0,0,0,0,0,1.2,20.5
#2002-01-14 08:00:00#,4,3.6,6,2,1.5,5.5,3.5,8,.5,.6,18.5
#2002-01-15 08:00:00#,1,.7,1.5,5,4.5,0,1.5,.5,3,.1,20.2
#2002-01-16 08:00:00#,0,.2,0,0,.5,0,0,0,0,1.3,21.1
#2002-01-17 08:00:00#,.5,0,0,0,0,0,0,0,0,1.3,20.2
#2002-01-18 08:00:00#,0,.3,0,0,0,1,0,0,0,1.8,21.6
#2002-01-19 08:00:00#,0,0,0,.5,0,0,0,0,0,1.7,21.4
#2002-01-20 08:00:00#,.5,0,0,0,0,.5,0,0,0,1.9,22.1
#2002-01-21 08:00:00#,0,0,.5,0,0,0,0,0,0,1.4,21.1
#2002-01-22 08:00:00#,0,0,0,0,0,0,0,0,0,1.4,19.4
#2002-01-23 08:00:00#,0,0,0,0,0,0,0,0,0,1.1,19.5
#2002-01-24 08:00:00#,0,.8,0,1,1,0,1,2,1,.6,22
#2002-01-25 08:00:00#,3,7.1,1,19,10,9,11.5,6.5,7,.3,24.3
#2002-01-26 08:00:00#,20.5,20.4,16.5,21,26,18.5,25,23.5,20.5,.6,20.5
#2002-01-27 08:00:00#,5,7.8,4.5,6.5,7,7.5,6.5,7,8,.3,34.1
#2002-01-28 08:00:00#,3,.7,1,.5,0,.5,.5,1,.5,.6,33.5
#2002-01-29 08:00:00#,0,0,0,0,0,0,0,0,0,1.2,28.3
#2002-01-30 08:00:00#,0,0,0,0,0,0,0,0,0,1,24.5
#2002-01-31 08:00:00#,0,0,0,0,0,0,0,0,0,1.3,24.7
#2002-02-01 08:00:00#,6,7,6,5.5,9,8.5,9,7.5,6,.9,23.4
#2002-02-02 08:00:00#,0,.6,1.5,.5,0,0,0,.5,.5,2.5,29.5
#2002-02-03 08:00:00#,1,0,.5,1.5,.5,1,1,.5,0,.7,24.7
#2002-02-04 08:00:00#,2,4.5,3.5,6,5,4,3,2.5,4.5,.3,30.8
#2002-02-05 08:00:00#,2,0,.5,0,0,1.5,1.5,0,0,1,28.4
#2002-02-06 08:00:00#,0,.9,.5,0,0,.5,0,.5,.5,.9,27.6
#2002-02-07 08:00:00#,2.5,2,1.5,1,1.5,3.5,1,9,2,0,27.5
#2002-02-08 08:00:00#,0,1.1,.5,0,.5,.5,.5,.5,1,0,22
#2002-02-09 08:00:00#,0,2.8,0,1,.5,2,1,0,1,.1,22.3
#2002-02-10 08:00:00#,0,.7,.5,.5,.5,1,1,0,0,1.1,20.5
#2002-02-11 08:00:00#,0,0,0,0,0,0,0,0,0,1.2,18.9
#2002-02-12 08:00:00#,0,0,0,0,0,0,0,0,0,.6,19
#2002-02-13 08:00:00#,0,0,0,0,0,0,0,0,0,2,20
#2002-02-14 08:00:00#,0,0,0,0,0,0,0,0,0,2.6,16.5
#2002-02-15 08:00:00#,0,0,0,0,0,0,0,0,0,1.9,17.5
#2002-02-16 08:00:00#,0,0,0,0,0,0,0,0,0,.8,18.3
#2002-02-17 08:00:00#,0,0,0,0,0,0,0,0,0,2.3,16.1
#2002-02-18 08:00:00#,.5,0,0,0,0,0,0,0,0,.5,17.4
#2002-02-19 08:00:00#,0,0,0,0,0,0,0,0,0,2.5,17.9
#2002-02-20 08:00:00#,0,0,0,0,0,0,0,0,0,.9,22
#2002-02-21 08:00:00#,0,0,0,0,0,0,0,0,0,1.7,19.7
#2002-02-22 08:00:00#,0,0,0,0,0,0,0,0,0,2.9,17.2
#2002-02-23 08:00:00#,0,0,0,0,0,0,0,0,0,2.3,19.7
#2002-02-24 08:00:00#,0,0,0,0,0,0,0,0,0,2.1,19.5
#2002-02-25 08:00:00#,0,0,0,0,0,0,0,0,0,1.8,17.2
#2002-02-26 08:00:00#,0,0,0,0,0,0,0,0,0,2.5,19.7
#2002-02-27 08:00:00#,0,0,0,0,0,0,0,0,0,1.2,17.5
#2002-02-28 08:00:00#,0,0,0,0,0,0,0,0,0,1.6,18.1
#2002-03-01 08:00:00#,0,0,0,0,0,0,0,0,0,1.7,20.3
#2002-03-02 08:00:00#,0,0,0,0,0,0,0,0,0,1.4,20.3
#2002-03-03 08:00:00#,.5,.2,0,0,0,0,0,0,0,1.7,15.9
#2002-03-04 08:00:00#,.5,0,0,0,0,0,0,0,0,1.7,12.1
#2002-03-05 08:00:00#,1.5,0,1.5,0,.5,2,0,0,0,2.7,13.4
#2002-03-06 08:00:00#,0,0,0,0,0,0,0,0,0,2.9,12.4
#2002-03-07 08:00:00#,0,0,0,0,0,0,0,0,0,2.5,11.2
#2002-03-08 08:00:00#,0,1.6,0,0,0,0,0,0,1,2.5,12.6
#2002-03-09 08:00:00#,.5,0,0,0,0,0,0,0,0,1.7,13.6
