time_start,time_end,evaporation_mm,daily_evaporation_label,evaporation_method,discharge_m3s,discharge_quality,all_fields_present
1993-11-03 23:00:00,1993-11-04 00:00:00,0.0,1993-11-04 08:00:00,daily_total_divided_by_24,31.0,observed_instantaneous,True
1993-11-04 00:00:00,1993-11-04 01:00:00,0.0,1993-11-04 08:00:00,daily_total_divided_by_24,33.75,linear_interpolated_instantaneous,True
1993-11-04 01:00:00,1993-11-04 02:00:00,0.0,1993-11-04 08:00:00,daily_total_divided_by_24,36.5,linear_interpolated_instantaneous,True
1993-11-04 02:00:00,1993-11-04 03:00:00,0.0,1993-11-04 08:00:00,daily_total_divided_by_24,39.25,linear_interpolated_instantaneous,True
1993-11-04 03:00:00,1993-11-04 04:00:00,0.0,1993-11-04 08:00:00,daily_total_divided_by_24,42.0,observed_instantaneous,True
1993-11-04 04:00:00,1993-11-04 05:00:00,0.0,1993-11-04 08:00:00,daily_total_divided_by_24,43.5,linear_interpolated_instantaneous,True
1993-11-04 05:00:00,1993-11-04 06:00:00,0.0,1993-11-04 08:00:00,daily_total_divided_by_24,45.0,observed_instantaneous,True
1993-11-04 06:00:00,1993-11-04 07:00:00,0.0,1993-11-04 08:00:00,daily_total_divided_by_24,43.5,linear_interpolated_instantaneous,True
1993-11-04 07:00:00,1993-11-04 08:00:00,0.0,1993-11-04 08:00:00,daily_total_divided_by_24,42.0,observed_instantaneous,True
1993-11-04 08:00:00,1993-11-04 09:00:00,0.0708333333333333,1993-11-05 08:00:00,daily_total_divided_by_24,39.5,linear_interpolated_instantaneous,True
1993-11-04 09:00:00,1993-11-04 10:00:00,0.0708333333333333,1993-11-05 08:00:00,daily_total_divided_by_24,37.0,observed_instantaneous,True
1993-11-04 10:00:00,1993-11-04 11:00:00,0.0708333333333333,1993-11-05 08:00:00,daily_total_divided_by_24,36.0,linear_interpolated_instantaneous,True
1993-11-04 11:00:00,1993-11-04 12:00:00,0.0708333333333333,1993-11-05 08:00:00,daily_total_divided_by_24,35.0,linear_interpolated_instantaneous,True
1993-11-04 12:00:00,1993-11-04 13:00:00,0.0708333333333333,1993-11-05 08:00:00,daily_total_divided_by_24,34.0,linear_interpolated_instantaneous,True
1993-11-04 13:00:00,1993-11-04 14:00:00,0.0708333333333333,1993-11-05 08:00:00,daily_total_divided_by_24,33.0,observed_instantaneous,True
1993-11-04 14:00:00,1993-11-04 15:00:00,0.0708333333333333,1993-11-05 08:00:00,daily_total_divided_by_24,33.0,linear_interpolated_instantaneous,True
1993-11-04 15:00:00,1993-11-04 16:00:00,0.0708333333333333,1993-11-05 08:00:00,daily_total_divided_by_24,33.0,observed_instantaneous,True
1993-11-04 16:00:00,1993-11-04 17:00:00,0.0708333333333333,1993-11-05 08:00:00,daily_total_divided_by_24,35.666666666666664,linear_interpolated_instantaneous,True
1993-11-04 17:00:00,1993-11-04 18:00:00,0.0708333333333333,1993-11-05 08:00:00,daily_total_divided_by_24,38.333333333333336,linear_interpolated_instantaneous,True
1993-11-04 18:00:00,1993-11-04 19:00:00,0.0708333333333333,1993-11-05 08:00:00,daily_total_divided_by_24,41.0,linear_interpolated_instantaneous,True
1993-11-04 19:00:00,1993-11-04 20:00:00,0.0708333333333333,1993-11-05 08:00:00,daily_total_divided_by_24,43.66666666666666,linear_interpolated_instantaneous,True
