time_end,discharge_m3s,discharge_quality
1996-05-24 08:00:00,19.2,observed_instantaneous
1996-05-24 09:00:00,18.3,linear_interpolated_instantaneous
1996-05-24 10:00:00,17.4,linear_interpolated_instantaneous
1996-05-24 11:00:00,16.5,linear_interpolated_instantaneous
1996-05-24 12:00:00,15.6,observed_instantaneous
1996-05-24 13:00:00,15.3,linear_interpolated_instantaneous
1996-05-24 14:00:00,15.0,linear_interpolated_instantaneous
1996-05-24 15:00:00,14.7,linear_interpolated_instantaneous
1996-05-24 16:00:00,14.4,observed_instantaneous
1996-05-24 17:00:00,14.25,linear_interpolated_instantaneous
1996-05-24 18:00:00,14.1,linear_interpolated_instantaneous
1996-05-24 19:00:00,13.95,linear_interpolated_instantaneous
1996-05-24 20:00:00,13.8,observed_instantaneous
1996-05-24 21:00:00,14.55,linear_interpolated_instantaneous
1996-05-24 22:00:00,15.3,linear_interpolated_instantaneous
1996-05-24 23:00:00,16.05,linear_interpolated_instantaneous
1996-05-25 00:00:00,16.8,observed_instantaneous
1996-05-25 01:00:00,17.4,observed_instantaneous
1996-05-25 02:00:00,18.0,observed_instantaneous
1996-05-25 03:00:00,19.8,observed_instantaneous
1996-05-25 04:00:00,21.0,linear_interpolated_instantaneous
1996-05-25 05:00:00,22.2,observed_instantaneous
1996-05-25 06:00:00,22.2,observed_instantaneous
1996-05-25 07:00:00,22.2,observed_instantaneous
1996-05-25 08:00:00,21.6,observed_instantaneous
1996-05-25 09:00:00,20.4,observed_instantaneous
1996-05-25 10:00:00,19.8,linear_interpolated_instantaneous
1996-05-25 11:00:00,19.2,observed_instantaneous
1996-05-25 12:00:00,18.6,observed_instantaneous
1996-05-25 13:00:00,19.2,observed_instantaneous
1996-05-25 14:00:00,21.0,observed_instantaneous
1996-05-25 15:00:00,25.8,observed_instantaneous
1996-05-25 16:00:00,33.3,observed_instantaneous
1996-05-25 17:00:00,48.9,observed_instantaneous
1996-05-25 18:00:00,71.4,observed_instantaneous
1996-05-25 19:00:00,118.0,observed_instantaneous
1996-05-25 20:00:00,221.0,observed_instantaneous
1996-05-25 21:00:00,303.0,observed_instantaneous
1996-05-25 22:00:00,346.0,observed_instantaneous
1996-05-25 23:00:00,366.0,observed_instantaneous
1996-05-26 00:00:00,368.0,observed_instantaneous
1996-05-26 01:00:00,357.0,linear_interpolated_instantaneous
1996-05-26 02:00:00,346.0,observed_instantaneous
1996-05-26 03:00:00,327.0,linear_interpolated_instantaneous
1996-05-26 04:00:00,308.0,observed_instantaneous
1996-05-26 05:00:00,287.0,linear_interpolated_instantaneous
1996-05-26 06:00:00,266.0,observed_instantaneous
1996-05-26 07:00:00,247.5,linear_interpolated_instantaneous
1996-05-26 08:00:00,229.0,observed_instantaneous
1996-05-26 09:00:00,212.5,linear_interpolated_instantaneous
1996-05-26 10:00:00,196.0,observed_instantaneous
1996-05-26 11:00:00,182.0,linear_interpolated_instantaneous
1996-05-26 12:00:00,168.0,observed_instantaneous
1996-05-26 13:00:00,157.0,linear_interpolated_instantaneous
1996-05-26 14:00:00,146.0,observed_instantaneous
1996-05-26 15:00:00,136.5,linear_interpolated_instantaneous
1996-05-26 16:00:00,127.0,observed_instantaneous
1996-05-26 17:00:00,120.0,linear_interpolated_instantaneous
1996-05-26 18:00:00,113.0,observed_instantaneous
1996-05-26 19:00:00,107.5,linear_interpolated_instantaneous
1996-05-26 20:00:00,102.0,observed_instantaneous
1996-05-26 21:00:00,98.65,linear_interpolated_instantaneous
1996-05-26 22:00:00,95.3,observed_instantaneous
1996-05-26 23:00:00,92.45,linear_interpolated_instantaneous
1996-05-27 00:00:00,89.6,observed_instantaneous
1996-05-27 01:00:00,87.57499999999999,linear_interpolated_instantaneous
1996-05-27 02:00:00,85.55,linear_interpolated_instantaneous
1996-05-27 03:00:00,83.525,linear_interpolated_instantaneous
1996-05-27 04:00:00,81.5,observed_instantaneous
1996-05-27 05:00:00,79.75,linear_interpolated_instantaneous
1996-05-27 06:00:00,78.0,linear_interpolated_instantaneous
1996-05-27 07:00:00,76.25,linear_interpolated_instantaneous
1996-05-27 08:00:00,74.5,observed_instantaneous
1996-05-27 09:00:00,72.2,linear_interpolated_instantaneous
1996-05-27 10:00:00,69.9,linear_interpolated_instantaneous
1996-05-27 11:00:00,67.6,linear_interpolated_instantaneous
1996-05-27 12:00:00,65.3,observed_instantaneous
1996-05-27 13:00:00,64.025,linear_interpolated_instantaneous
1996-05-27 14:00:00,62.75,linear_interpolated_instantaneous
1996-05-27 15:00:00,61.475,linear_interpolated_instantaneous
1996-05-27 16:00:00,60.2,observed_instantaneous
1996-05-27 17:00:00,59.825,linear_interpolated_instantaneous
1996-05-27 18:00:00,59.45,linear_interpolated_instantaneous
1996-05-27 19:00:00,59.075,linear_interpolated_instantaneous
1996-05-27 20:00:00,58.7,observed_instantaneous
1996-05-27 21:00:00,60.0,linear_interpolated_instantaneous
1996-05-27 22:00:00,61.3,linear_interpolated_instantaneous
1996-05-27 23:00:00,62.6,linear_interpolated_instantaneous
1996-05-28 00:00:00,63.9,observed_instantaneous
1996-05-28 01:00:00,63.9,linear_interpolated_instantaneous
1996-05-28 02:00:00,63.9,linear_interpolated_instantaneous
1996-05-28 03:00:00,63.9,linear_interpolated_instantaneous
1996-05-28 04:00:00,63.9,observed_instantaneous
1996-05-28 05:00:00,61.55,linear_interpolated_instantaneous
1996-05-28 06:00:00,59.2,linear_interpolated_instantaneous
1996-05-28 07:00:00,56.85,linear_interpolated_instantaneous
1996-05-28 08:00:00,54.5,observed_instantaneous
1996-05-28 09:00:00,52.225,linear_interpolated_instantaneous
1996-05-28 10:00:00,49.95,linear_interpolated_instantaneous
1996-05-28 11:00:00,47.675,linear_interpolated_instantaneous
1996-05-28 12:00:00,45.4,observed_instantaneous
1996-05-28 13:00:00,47.675,linear_interpolated_instantaneous
1996-05-28 14:00:00,49.95,linear_interpolated_instantaneous
1996-05-28 15:00:00,52.225,linear_interpolated_instantaneous
1996-05-28 16:00:00,54.5,observed_instantaneous
