event_id,start,end,hours,raw_discharge_records,missing_rain_station_hours,missing_evaporation_hours,missing_discharge_hours,interpolated_discharge_hours,complete_hours,all_hours_complete,rain_semantics_confirmed,needs_human_event_review,observed_peak_m3s,peak_time,zero_filled_rain_station_hours
event-003-19890520,1989-05-19 23:00:00,1989-06-09 00:00:00,481,180,2548,0,0,301,481,True,True,True,1640.0,1989-05-22 22:00:00,2548.0
event-027-19930917,1993-09-16 23:00:00,1993-10-01 20:00:00,357,127,2418,0,0,230,357,True,True,True,790.0,1993-09-27 10:00:00,2418.0
event-041-19960726,1996-07-25 23:00:00,1996-08-02 08:00:00,177,79,1357,0,0,98,177,True,True,True,740.0,1996-07-27 15:00:00,1357.0
event-072-20010725,2001-07-24 23:00:00,2001-07-30 16:00:00,137,35,1058,0,0,102,137,True,True,True,665.0,2001-07-26 20:00:00,1058.0
event-026-19930820,1993-08-19 23:00:00,1993-08-26 00:00:00,145,49,928,0,0,96,145,True,True,True,539.0,1993-08-22 08:00:00,928.0
event-025-19930627,1993-06-26 23:00:00,1993-07-03 00:00:00,145,43,958,0,0,102,145,True,True,True,537.0,1993-06-30 00:00:00,958.0
event-028-19931104,1993-11-03 23:00:00,1993-11-10 00:00:00,145,53,1074,0,0,92,145,True,True,True,512.0,1993-11-05 14:00:00,1074.0
event-039-19960418,1996-04-18 07:00:00,1996-04-26 00:00:00,185,70,1546,0,0,115,185,True,True,True,467.0,1996-04-19 19:00:00,1546.0
event-022-19920906,1992-09-05 23:00:00,1992-09-12 18:00:00,163,67,947,0,0,96,163,True,True,True,431.0,1992-09-08 10:00:00,947.0
event-040-19960524,1996-05-24 07:00:00,1996-05-28 16:00:00,105,50,821,0,0,56,105,True,True,True,368.0,1996-05-26 00:00:00,821.0
